text,comment_length,sentiment_polarity,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_subjectivity,likes,num_replies,created_utc,source,source_id,video_id,video_title,video_channel,video_view_count,video_like_count,video_comment_count,video_published_at,contains_ai,contains_opinion,contains_societal,sentiment_label
"I think the filmmaker Christopher Nolan said it best ""AI is the world's most expensive plagarism machine.""",17,0.6369,0.208,0.0,0.792,0.56845,3983,21,2025-12-04T16:04:11Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
OpenAI is 100 not normal and we should all be worried.,11,-0.296,0.0,0.18,0.82,0.273,2529,38,2025-12-04T15:08:27Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"I like how most peoples problem with Ai is that it's too resource heavy expensive to maintain, and not companies stealing all your data and making money off people and claiming it as original.",34,0.5886,0.191,0.073,0.736,0.2943,5280,180,2025-12-04T15:30:28Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"The AI bubble won t burst because the technology fails, but because investors have made it impossible to like. They ve forced AI into everything, made services more expensive, worse, and more annoying for normal people, and then expect everyone to cheer for it. Once people start ignoring anything with AI attached to it, the whole model collapses. No demand no profit bubble bursts. Ironically, it s the investors themselves who created the backlash that will destroy their own AI revolution. Within a few years we ll see things like AI-free video platforms Human-made certification No-AI creative zones 100 Human Content labels And just like organic food rose as a reaction to ultra-processed products, this will become totally mainstream.",119,-0.5966,0.17,0.182,0.648,0.2983,33,5,2025-12-06T10:12:14Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"7 49 it s social suicide and global damnation to continue exponentially towards the critical point. This isn t riding a bike this is driving into a lake. Once we are in it we can t get out and slowly but surely die, cold, broken, and alone asking how but knowing nothing because our brains are mush because we can t escape ai.",63,-0.9153,0.074,0.235,0.691,0.58265,31,0,2025-12-06T00:01:38Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
My main problem with AI is how so many of these experts and and inventors say how it will eventually take everyone's jobs- even doctors. No one asked for their data creations to be stolen and for unemployment.,38,-0.8126,0.056,0.236,0.708,0.4063,303,13,2025-12-04T18:49:44Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,negative
"I hate people pushing AI this far. Years ago, when I started as a software developer, I saw the future in AI. I saw how good it could go, how neural networks are so good at finding specific patterns. But also we all saw how neural networks always tried to cheat. If you didn't specify certain constraints, the model generated will always succeed in an unexpected way. And this is happening with AI, instead of polishing the models more and more, throwing more into research, they just instead blindly trusted the foundations. The current AI model foundations sucks, they're really inefficient. And it's incredibly expensive to train a model. We never needed such complex models in such a fragile foundation. This is wrong in every single level, and all companies are showing their true colors, we're not valuable at all, the moment we're replaceable they don't care about tomorrow, they just care about now. Even if they're billionaires and can live dozens of lifetimes their families included they don't care for the problems of the next 50 years because they will be retired. It doesn't matter to them that we cannot reach an affordable life conditions. This all sucks.",199,-0.9088,0.088,0.149,0.764,0.7044,575,19,2025-12-04T18:17:52Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,negative
"I think a good alternative to using AI voices is just, regular Text To Speech. It doesn t try to sound human, and as such, is easier to accept and even appreciate since it has that simplistic charm",38,0.9136,0.293,0.0,0.707,0.5818,115,8,2025-12-04T19:58:53Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"'Oh, but we should make sure AI has regulations' 'And who will be making those regulations?' AI companies 'Don't worry, we'll get the regulations in place ourselves. You can TOTALLY trust us on this one!'",35,0.9237,0.278,0.0,0.722,0.58685,58,5,2025-12-04T17:52:56Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
"I for one DO NOT want to see ANY form of bail-outs being handed out if when this bubble bursts! Financial instiutions should know better, and OpenAI is not ""Too Big To Fail""! They'll probably be bought out, then the new owners will capitalize on brand recognition and have all versions of ChatGPT behind a paywall... Just another day in a capitalist jungle. But another great video produced by Monkey and his team!",73,0.7972,0.105,0.042,0.854,0.5236000000000001,190,7,2025-12-04T15:45:41Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
I don t think ai is quite the problem. But instead how it s being handled.. Especially when the costs of everything is almost always offset by the populations who somehow have to pay more for some redtape reason.,39,-0.3796,0.0,0.088,0.912,0.1898,412,15,2025-12-04T15:14:13Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"OpenAI's and generative AI in General's downfall is that they are too costly, they cost so many Land and power that could be used better in other areas for the fractian of the result",34,0.3612,0.08,0.039,0.882,0.3056,126,9,2025-12-04T15:03:43Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"The issue is that AI has fallen to the clever hans fallacy, where it's easier for the AI to mimic and cheat intelligence rather than actually be intelligence. But since AI cheats it doesn't actually understand why it's wrong, it simply wildly guesses afterwords or just tries to gaslight the user instead. Because this is easier for the AI to get good at instead of actually learning on how to problem solve. But companies keep pushing for AI because the promise of a perfect employee is too lucrative to them. An employee that works 24 7, never complains, and always does the job perfectly like clockwork. But the reality is that AI fails to understand why something is correct, and only care about providing the correct answer. So it'll keep doing the same thing, over and over again hoping that the human will like this variation instead of going back to the drawing board and question it's current understanding. AGI artificial general intelligence will likely come later this century, not in a couple of years like these tech companies are claiming. So the bubble is probably going to pop when they try to put AI into an important position job, only for it to fail and cause a whole scandal.",210,0.9834,0.216,0.102,0.682,0.6167,155,16,2025-12-04T15:39:49Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
"It feels like this video was made by AI, and it actually sees people as ""monkeys""....",16,0.3612,0.143,0.0,0.857,0.1806,2,0,2025-12-06T23:57:49Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"One thing that boggled me for the longest time was how all the AI companies boasted that ""there is a significant chance a general artificial intelligence could lead to human extinction in the next 5-10 years"", yet they kept doing it. And then I realised - It was marketing. They were just trying to hype up that AGI was coming, and it was going to be so good that it was a threat to mankind if handled poorly. Now I think these corpos didn't even believe it themselves, it was a staying maneuver to keep the hype going. Not downplaying the threat AGI could pose to us, mind you. But I'm sleeping a lot easier after realising this.",118,0.8275,0.102,0.017,0.88,0.6637500000000001,1,0,2025-12-05T04:14:47Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
I think youtube has educated and help society more than AI has so far lol,15,0.6983,0.308,0.0,0.692,0.47415,12,0,2025-12-04T19:16:58Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
"All we need to do is to survive until investors find out, that data models are more expensive to keep running, than humans and the output is impossible to monetize accordingly, because it's also lower quality than human labour. Investors are really slow in the head tho, it will take years before they find out and they will be the last ones to connect the dots... Like sure, AI is the future, but these are just data models, nothing more. It'a not Artificial Intelligence, it's artifical unintelligence at best.",89,0.645,0.094,0.05,0.856,0.4475,9,1,2025-12-04T22:58:19Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
Getting an ad for an AI product about 2 3s of the way through this video was quite amusing.,19,0.4391,0.138,0.0,0.862,0.21955,0,0,2025-12-05T23:52:55Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"This is why the only thing I'll ask an LLM to do is write songs for me to sing while defecating about how fun it is to defecate. Sure, they can steal my ""content"" to train their ai, and I'm all for that - the future is going to need robots that understand how much humans love to sing about pooping",61,0.765,0.14,0.046,0.814,0.5075000000000001,11,3,2025-12-04T15:14:28Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
"The thing about ai that really gets me is that if it seccedes, we're all out of a job and a future. If it fails, we're all our if a job and a future",34,-0.4215,0.0,0.078,0.922,0.21075,0,0,2025-12-05T17:18:36Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,False,True,negative
Oh boy I love helping train AI models to replace my project management job!,14,0.7712,0.358,0.0,0.642,0.5105999999999999,1,0,2025-12-05T16:55:14Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,positive
"The craziest part is people don t understand the long term effects. AI infrastructure that uses massive amounts of electricity. Electricity comes from coal. Coal costs go up. Servers are made for the AI. Ram and SSD goes up. Means people can t buy PCs which mean less people able to access AI. Once it all crashes what happens to all that infrastructure? It gets trashed. It ll be the biggest E-waste event in history right after Microsoft just set the record with windows 11. The higher cost of oil will also affect all your goods and services as well. Which ultimately hits your wallet whether it be your electric bill, groceries or gas. Think water is safe? They have to cool those servers don t they? Every part has an effect",132,0.7677,0.057,0.009,0.934,0.38385,10,2,2025-12-04T15:10:38Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
Someone needs to be the Henry Ford of AI. He didn t invent automobiles but he revolutionized them into what we know today by maximizing production efficiency. Lowered costs creating demand and increased production volume supplying that demand.,38,0.6652,0.189,0.114,0.696,0.3326,3,0,2025-12-05T14:47:29Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
AI is definitely useful. The challenge is getting it efficient enough to create real profit margins,16,0.9136,0.595,0.0,0.405,0.5818,3,3,2025-12-05T02:42:18Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"If ai trains on our works, why don't we just feed it garbage data constantly to get our revenge?",19,-0.5267,0.0,0.159,0.841,0.26335,1,0,2025-12-05T16:56:37Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"The thing that kind of put me off Sam Altman was his weird crypto orb a few years back. ""No no, this is important. In this era, authenticity is a valuable commodity, you need to be able to prove you're not AI by getting scanned by The Orb."" Bro, YOU'RE the one building the machine that's making people doubt human authenticity. YOU'RE the one devaluing human contribution. It's like that meme of Jesus standing at a door being like ""Let me in so I can save you."" ""Save me from what?"" ""From what I'm going to do to you if you don't let me in.""",105,0.9074,0.141,0.036,0.824,0.4537,0,0,2025-12-05T16:13:54Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"The problem is I can choose to not be affected by AI in my chosen profession, to not use it casually and not consume content it creates, but i will still be affected when it collapses",36,-0.6171,0.068,0.192,0.739,0.30855,0,0,2025-12-06T15:23:15Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"Theres 2 big things happening. 1. CEOs are discovering they can just lease existing AIs, and have low level people QA check the outputs. 2. AI is able to pump out such vast quantities of Content that the market can be flooded with ultra low risk art until something hits",50,-0.6486,0.0,0.118,0.882,0.3243,0,0,2025-12-06T16:00:07Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"I think there is a crucial difference to the 2008 bubble the IT companies have had huge amounts of cash sitting in offshore accounts. These accounts are now getting drained to fuel the AI industry. The money might still go in circles, which is in no way good, but i think the comparison to 2008 is not a perfect fit.",60,-0.8428,0.024,0.174,0.802,0.6714,1,0,2025-12-05T09:01:26Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
Once i realized AI for america is exactly what concrete apartment centers were for china like 10 years ago...it all started making sense.,23,0.3612,0.102,0.0,0.898,0.1806,0,0,2025-12-05T17:22:58Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
I didnt realize i used to use the old chatgpt until after i read that married to ai article. The creating a bot that after a certain amount of use it dies should ve been a mandatory limit the rest of ai should incorporate.,44,0.5574,0.12,0.0,0.88,0.4037,0,0,2025-12-06T21:01:38Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
"Curious to see how this kind of economic endogamy is not only the main issue, but also, a component to keep the urobouros and also syphon resources from the outside. Not only big companies are investing, but also, due to AI usage they can also syphon money from customers carrying big part of the burden to them, that explaining why RAM prices hikes to insane levels, why personal computing is beign dragged away from customers and experiences reduced to ""pay for the service"". It's a temporal win-win for the ones who wanna mask record profits and cover the expenses draining the customers, but in the end, we all see there's a big difference with 2008's crisis Companies forced a massive ""demand destruction"", but it's going so bad they will end up causing a permanent damage on demand. When something is ""too big to fail"", rest assured, it's gonna fail",149,-0.9917,0.046,0.255,0.699,0.49585,0,0,2025-12-05T12:52:43Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"ChatGPTMyBeloved since i read the description P also also, i know i don't have any professional experience, but can I try out to be your narrator? I do have an Indian accent, well since I am an Indian so that might cause issues sadly, so no biggie",47,-0.7049,0.049,0.138,0.813,0.47745,0,0,2025-12-06T18:12:08Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,negative
"Throughout the last 3 years I went through this cycle enormous amount of times Step 1. A very famous influencer ceo reasercher says that AI's gonna take over my jobs, I start to panic. Step 2. when the panic is over I start to think rationally and discover that it's technically not possible and not close Step 3. Go to Step 1. The opinions from these influencers is what actually makes most people believe it",75,-0.765,0.0,0.083,0.917,0.3825,0,0,2025-12-06T11:00:51Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,True,negative
"Personally I only think that AI got as big as it did because a terrifying amount of CEOs love the idea of a yes-man that can do all the work with no wages and at a singular prompt. It doesn't even have to be working properly, it just needs to sound like it does to those guys. I think it's an oddly poetic irony that the spark of inspiration and creativity that usually result in successes comes from the very same traits that these CEOs want to get rid of for the sake of 'number go up'. It's hardly a surprise that stuff like Gen AI seem to lack a certain soul to them.",114,0.9415,0.201,0.069,0.73,0.72075,0,0,2025-12-05T06:19:21Z,youtube,youtube_comment_None,LfQIJgU_W2w,The OpenAI Bubble is Worse Than You Think,MonkeyExplains,406675,21203,2396,2025-12-04T15:00:45Z,True,True,False,positive
